Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
2023-05-02,ICICIBANK,EQ,917.65,924.0,925.8,918.7,921.95,922.1,922.52,17515017.0,16158017786.15,171814.0,"48,73,474",27.82
2023-05-03,ICICIBANK,EQ,922.1,919.55,923.85,911.55,921.7,922.85,917.93,18715142.0,17179260633.2,193633.0,"48,06,434",25.68
2023-05-04,ICICIBANK,EQ,922.85,920.0,923.9,911.8,920.1,921.7,917.17,20485002.0,18788228239.4,182779.0,"39,68,637",19.37
2023-05-05,ICICIBANK,EQ,921.7,925.0,942.45,923.45,927.0,926.95,933.17,19002035.0,17732172083.15,233042.0,"65,86,561",34.66
2023-05-08,ICICIBANK,EQ,926.95,927.0,941.7,927.0,937.85,937.9,938.29,18623913.0,17474548902.45,173542.0,"43,06,643",23.12
2023-05-09,ICICIBANK,EQ,937.9,941.0,945.0,931.8,934.0,934.4,939.45,21507610.0,20205219030.0,197816.0,"55,37,901",25.75
2023-05-10,ICICIBANK,EQ,934.4,934.6,941.0,928.25,936.6,936.05,933.75,25910923.0,24194253986.15,210957.0,"71,46,365",27.58
2023-05-11,ICICIBANK,EQ,936.05,940.05,947.0,933.85,939.65,939.2,940.72,20027372.0,18840164285.9,213605.0,"44,33,797",22.14
2023-05-12,ICICIBANK,EQ,939.2,939.75,948.0,935.1,943.5,943.9,940.76,13873480.0,13051598098.95,197789.0,"40,40,266",29.12
2023-05-15,ICICIBANK,EQ,943.9,943.75,949.0,938.2,944.15,945.75,944.97,10453762.0,9878468196.25,164481.0,"33,09,735",31.66
2023-05-16,ICICIBANK,EQ,945.75,950.0,952.2,943.0,944.3,946.35,948.71,19612293.0,18606305163.9,226076.0,"65,10,403",33.2
2023-05-17,ICICIBANK,EQ,946.35,947.3,948.4,935.8,942.4,939.35,941.45,19273344.0,18144912091.25,249139.0,"66,32,984",34.42
2023-05-18,ICICIBANK,EQ,939.35,947.95,952.25,942.1,946.5,946.5,947.09,21550141.0,20409847199.75,209338.0,"51,63,840",23.96
2023-05-19,ICICIBANK,EQ,946.5,951.45,956.0,941.6,954.0,954.3,948.41,15427412.0,14631454419.2,256936.0,"44,57,516",28.89
2023-05-22,ICICIBANK,EQ,954.3,951.05,954.25,946.15,948.5,950.35,950.48,15509525.0,14741519452.5,174326.0,"29,18,539",18.82
2023-05-23,ICICIBANK,EQ,950.35,952.0,958.85,945.0,951.0,953.4,954.55,16579935.0,15826384807.3,179712.0,"59,76,229",36.04
2023-05-24,ICICIBANK,EQ,953.4,946.7,953.85,938.5,941.1,940.65,948.39,18049620.0,17118111862.45,156440.0,"50,58,988",28.03
2023-05-25,ICICIBANK,EQ,940.65,937.0,941.6,932.95,939.4,939.85,937.68,19328582.0,18124113002.95,165933.0,"54,34,226",28.11
2023-05-26,ICICIBANK,EQ,939.85,939.8,952.45,935.55,950.5,950.7,944.9,10957182.0,10353399956.05,116316.0,"28,42,350",25.94
2023-05-29,ICICIBANK,EQ,950.7,953.85,957.6,946.8,948.15,948.15,951.73,12108079.0,11523605997.05,154665.0,"41,63,616",34.39
2023-05-30,ICICIBANK,EQ,948.15,945.35,952.3,944.65,951.35,949.95,948.19,18483624.0,17525924428.0,165705.0,"50,95,077",27.57
2023-05-31,ICICIBANK,EQ,949.95,949.5,952.0,940.5,951.3,949.15,946.37,27254425.0,25792657193.2,196047.0,"1,21,63,846",44.63
2023-06-01,ICICIBANK,EQ,949.15,954.25,954.25,932.8,936.45,936.1,946.03,21650700.0,20482235167.7,199559.0,"43,44,533",20.07
2023-06-02,ICICIBANK,EQ,936.1,943.0,944.65,935.05,936.6,938.15,939.61,12494376.0,11739902972.45,202054.0,"49,00,317",39.22
2023-06-05,ICICIBANK,EQ,938.15,943.0,951.8,943.0,947.0,946.75,948.39,10751684.0,10196745923.25,124104.0,"25,00,361",23.26
2023-06-06,ICICIBANK,EQ,946.75,946.5,947.8,938.1,942.6,942.1,941.11,11894330.0,11193869092.55,140147.0,"38,28,216",32.19
2023-06-07,ICICIBANK,EQ,942.1,944.35,945.85,933.8,940.0,940.2,937.88,16486469.0,15462369201.45,201193.0,"55,62,271",33.74
2023-06-08,ICICIBANK,EQ,940.2,936.6,950.5,935.2,938.95,937.9,943.61,17608140.0,16615268439.75,191521.0,"44,67,667",25.37
2023-06-09,ICICIBANK,EQ,937.9,941.4,944.0,936.2,939.0,938.05,939.36,12253128.0,11510047267.8,160590.0,"50,41,613",41.15
2023-06-12,ICICIBANK,EQ,938.05,938.0,943.5,933.3,936.7,935.95,938.6,10520125.0,9874219363.85,163744.0,"44,95,674",42.73
2023-06-13,ICICIBANK,EQ,935.95,935.9,946.25,934.1,943.75,943.55,940.17,13528776.0,12719334878.3,184244.0,"51,23,245",37.87
2023-06-14,ICICIBANK,EQ,943.55,946.05,946.95,936.25,939.15,939.8,938.69,13489262.0,12662298905.9,161261.0,"71,33,576",52.88
